"|","|__name","|__party","|__rank","|__title","|__thomas","|__bioguide","|__chamber"
"","Jason Lewis","majority","18","","","L000587",""
"","Michael E. Capuano","minority","1","Ranking Member","01564","C001037",""
"","Donald M. Payne, Jr.","minority","2","","02097","P000604",""
"","Jerrold Nadler","minority","3","","00850","N000002",""
"","Elijah E. Cummings","minority","4","","00256","C000984",""
"","Steve Cohen","minority","5","","01878","C001068",""
"","Albio Sires","minority","6","","01818","S001165",""
"","John Garamendi","minority","7","","01973","G000559",""
"","André Carson","minority","8","","01889","C001072",""
"","Richard M. Nolan","minority","9","","00867","N000127",""
"","Elizabeth H. Esty","minority","10","","02114","E000293",""
"","Cheri Bustos","minority","11","","02127","B001286",""
"","Frederica S. Wilson","minority","12","","02004","W000808",""
"","Mark DeSaulnier","minority","13","","02227","D000623",""
"","Daniel Lipinski","minority","14","","01781","L000563",""
"HSRU","Pete Sessions","majority","1","Chair","01525","S000250",""
"","Tom Cole","majority","2","","01742","C001053",""
"","Rob Woodall","majority","3","","02008","W000810",""
"","Michael C. Burgess","majority","4","","01751","B001248",""
"","Doug Collins","majority","5","","02121","C001093",""
"","Bradley Byrne","majority","6","","02197","B001289",""
"","Dan Newhouse","majority","7","","02275","N000189",""
"","Ken Buck","majority","8","","02233","B001297",""
"","Liz Cheney","majority","9","","","C001109",""
"","Louise McIntosh Slaughter","minority","1","Ranking Member","01069","S000480",""
"","James P. McGovern","minority","2","","01504","M000312",""
"","Alcee L. Hastings","minority","3","","00511","H000324",""
"","Jared Polis","minority","4","","01910","P000598",""
"HSRU02","Rob Woodall","majority","1","Chair","02008","W000810",""
"","Michael C. Burgess","majority","2","","01751","B001248",""
"","Bradley Byrne","majority","3","","02197","B001289",""
"","Dan Newhouse","majority","4","","02275","N000189",""
"","Ken Buck","majority","5","","02233","B001297",""
"","Alcee L. Hastings","minority","1","Ranking Member","00511","H000324",""
"","Jared Polis","minority","2","","01910","P000598",""
"HSRU04","Doug Collins","majority","1","Chair","02121","C001093",""
"","Bradley Byrne","majority","2","","02197","B001289",""
"","Dan Newhouse","majority","3","","02275","N000189",""
"","Liz Cheney","majority","4","","","C001109",""
"","Pete Sessions","majority","5","","01525","S000250",""
"","Louise McIntosh Slaughter","minority","1","Ranking Member","01069","S000480",""
"","James P. McGovern","minority","2","","01504","M000312",""
"HSSM","Steve Chabot","majority","1","Chair","00186","C000266",""
"","Steve King","majority","2","","01724","K000362",""
"","Blaine Luetkemeyer","majority","3","","01931","L000569",""
"","Dave Brat","majority","4","","02203","B001290",""
"","Aumua Amata Coleman Radewagen","majority","5","","02222","R000600",""
"","Stephen Knight","majority","6","","02228","K000387",""
"","Trent Kelly","majority","7","","02294","K000388",""
"","Rod Blum","majority","8","","02241","B001294",""
"","James Comer","majority","9","","","C001108",""
"","Jenniffer González-Colón","majority","10","","","G000582",""
"","Don Bacon","majority","11","","","B001298",""
"","Brian K. Fitzpatrick","majority","12","","","F000466",""
"","Roger W. Marshall","majority","13","","","M001198",""
"","Ralph Norman","majority","14","","","N000190",""
"","Nydia M. Velázquez","minority","1","Ranking Member","01184","V000081",""
"","Dwight Evans","minority","2","","","E000296",""
"","Stephanie N. Murphy","minority","3","","","M001202",""
"","Al Lawson, Jr.","minority","4","","","L000586",""
"","Yvette D. Clarke","minority","5","","01864","C001067",""
"","Judy Chu","minority","6","","01970","C001080",""
"","Alma S. Adams","minority","7","","02201","A000370",""
"","Adriano Espaillat","minority","8","","","E000297",""
"","Bradley Scott Schneider","minority","9","","02124","S001190",""
"HSSM23","Stephen Knight","majority","1","Chair","02228","K000387",""
"","Steve King","majority","2","","01724","K000362",""
"","James Comer","majority","3","","","C001108",""
"","Ralph Norman","majority","4","","","N000190",""
"","Stephanie N. Murphy","minority","1","Ranking Member","","M001202",""
"","Yvette D. Clarke","minority","2","","01864","C001067",""
"","Dwight Evans","minority","3","","","E000296",""
"","Al Lawson, Jr.","minority","4","","","L000586",""
"HSSM24","Trent Kelly","majority","1","Chair","02294","K000388",""
"","Rod Blum","majority","2","","02241","B001294",""
"","Don Bacon","majority","3","","","B001298",""
"","Roger W. Marshall","majority","4","","","M001198",""
"","Ralph Norman","majority","5","","","N000190",""
"","Alma S. Adams","minority","1","Ranking Member","02201","A000370",""
"HSSM25","Rod Blum","majority","1","Chair","02241","B001294",""
"","Steve King","majority","2","","01724","K000362",""
"","Blaine Luetkemeyer","majority","3","","01931","L000569",""
"","Aumua Amata Coleman Radewagen","majority","4","","02222","R000600",""
"","James Comer","majority","5","","","C001108",""
"","Don Bacon","majority","6","","","B001298",""
"","Bradley Scott Schneider","minority","1","Ranking Member","02124","S001190",""
"","Al Lawson, Jr.","minority","2","","","L000586",""
"HSSM26","Aumua Amata Coleman Radewagen","majority","1","Chair","02222","R000600",""
"","Blaine Luetkemeyer","majority","2","","01931","L000569",""
"","Dave Brat","majority","3","","02203","B001290",""
"","Jenniffer González-Colón","majority","4","","","G000582",""
"","Brian K. Fitzpatrick","majority","5","","","F000466",""
"","Roger W. Marshall","majority","6","","","M001198",""
"","Al Lawson, Jr.","minority","1","Ranking Member","","L000586",""
"","Adriano Espaillat","minority","2","","","E000297",""
"HSSM27","Dave Brat","majority","1","Chair","02203","B001290",""
"","Stephen Knight","majority","2","","02228","K000387",""
"","Trent Kelly","majority","3","","02294","K000388",""
"","Jenniffer González-Colón","majority","4","","","G000582",""
"","Brian K. Fitzpatrick","majority","5","","","F000466",""
"","Dwight Evans","minority","1","Ranking Member","","E000296",""
"","Judy Chu","minority","2","","01970","C001080",""
"","Stephanie N. Murphy","minority","3","","","M001202",""
"","Yvette D. Clarke","minority","4","","01864","C001067",""
"HSSO","Susan W. Brooks","majority","1","Chair","02129","B001284",""
"","Patrick Meehan","majority","2","","02052","M001181",""
"","Trey Gowdy","majority","3","","02058","G000566",""
"","Kenny Marchant","majority","4","","01806","M001158",""
"","Leonard Lance","majority","5","","01936","L000567",""
"","Theodore E. Deutch","minority","1","Ranking Member","01976","D000610",""
"","Yvette D. Clarke","minority","2","","01864","C001067",""
"","Jared Polis","minority","3","","01910","P000598",""
"","Anthony G. Brown","minority","4","","","B001304",""
"","Steve Cohen","minority","5","","01878","C001068",""
"HSSY","Lamar Smith","majority","1","Chair","01075","S000583",""
"","Dana Rohrabacher","majority","2","","00979","R000409",""
"","Frank D. Lucas","majority","3","","00711","L000491",""
"","Mo Brooks","majority","4","","01987","B001274",""
"","Randy Hultgren","majority","5","","02015","H001059",""
"","Bill Posey","majority","6","","01915","P000599",""
"","Thomas Massie","majority","7","","02094","M001184",""
"","Jim Bridenstine","majority","8","","02155","B001283",""
"","Randy K. Weber, Sr.","majority","9","","02161","W000814",""
"","Stephen Knight","majority","10","","02228","K000387",""
"","Brian Babin","majority","11","","02270","B001291",""
"","Barbara Comstock","majority","12","","02273","C001105",""
"","Barry Loudermilk","majority","13","","02238","L000583",""
"","Ralph Lee Abraham","majority","14","","02244","A000374",""
"","Darin LaHood","majority","15","","02295","L000585",""
"","Daniel Webster","majority","16","","02002","W000806",""
"","Jim Banks","majority","17","","","B001299",""
"","Andy Biggs","majority","18","","","B001302",""
"","Roger W. Marshall","majority","19","","","M001198",""
"","Neal P. Dunn","majority","20","","","D000628",""
"","Clay Higgins","majority","21","","","H001077",""
"","Ralph Norman","majority","22","","","N000190",""
"","Eddie Bernice Johnson","minority","1","Ranking Member","00599","J000126",""
"","Zoe Lofgren","minority","2","","00701","L000397",""
"","Daniel Lipinski","minority","3","","01781","L000563",""
"","Suzanne Bonamici","minority","4","","02092","B001278",""
"","Ami Bera","minority","5","","02102","B001287",""
"","Elizabeth H. Esty","minority","6","","02114","E000293",""
"","Marc A. Veasey","minority","7","","02166","V000131",""
"","Donald S. Beyer, Jr.","minority","8","","02272","B001292",""
"","Jacky Rosen","minority","9","","","R000608",""
"","Jerry McNerney","minority","10","","01832","M001166",""
"","Ed Perlmutter","minority","11","","01835","P000593",""
"","Paul Tonko","minority","12","","01942","T000469",""
"","Bill Foster","minority","13","","01888","F000454",""
"","Mark Takano","minority","14","","02110","T000472",""
"","Colleen Hanabusa","minority","15","","02010","H001050",""
"","Charlie Crist","minority","16","","","C001111",""
"HSSY15","Barbara Comstock","majority","1","Chair","02273","C001105",""
"","Frank D. Lucas","majority","2","","00711","L000491",""
"","Randy Hultgren","majority","3","","02015","H001059",""
"","Stephen Knight","majority","4","","02228","K000387",""
"","Darin LaHood","majority","5","","02295","L000585",""
"","Ralph Lee Abraham","majority","6","Vice Chair","02244","A000374",""
"","Daniel Webster","majority","7","","02002","W000806",""
"","Jim Banks","majority","8","","","B001299",""
"","Roger W. Marshall","majority","9","","","M001198",""
"","Lamar Smith","majority","10","Ex Officio","01075","S000583",""
"","Daniel Lipinski","minority","1","Ranking Member","01781","L000563",""
"","Elizabeth H. Esty","minority","2","","02114","E000293",""
"","Jacky Rosen","minority","3","","","R000608",""
"","Suzanne Bonamici","minority","4","","02092","B001278",""
"","Ami Bera","minority","5","","02102","B001287",""
"","Donald S. Beyer, Jr.","minority","6","","02272","B001292",""
"","Eddie Bernice Johnson","minority","7","Ex Officio","00599","J000126",""
"HSSY16","Brian Babin","majority","1","Chair","02270","B001291",""
"","Dana Rohrabacher","majority","2","","00979","R000409",""
"","Frank D. Lucas","majority","3","","00711","L000491",""
"","Mo Brooks","majority","4","Vice Chair","01987","B001274",""
"","Bill Posey","majority","5","","01915","P000599",""
"","Jim Bridenstine","majority","6","","02155","B001283",""
"","Stephen Knight","majority","7","","02228","K000387",""
"","Barbara Comstock","majority","8","","02273","C001105",""
"","Ralph Lee Abraham","majority","9","","02244","A000374",""
"","Daniel Webster","majority","10","","02002","W000806",""
"","Jim Banks","majority","11","","","B001299",""
"","Andy Biggs","majority","12","","","B001302",""
"","Neal P. Dunn","majority","13","","","D000628",""
"","Clay Higgins","majority","14","","","H001077",""
"","Lamar Smith","majority","15","Ex Officio","01075","S000583",""
"","Ami Bera","minority","1","Ranking Member","02102","B001287",""
"","Zoe Lofgren","minority","2","","00701","L000397",""
"","Donald S. Beyer, Jr.","minority","3","","02272","B001292",""
"","Marc A. Veasey","minority","4","","02166","V000131",""
"","Daniel Lipinski","minority","5","","01781","L000563",""
"","Ed Perlmutter","minority","6","","01835","P000593",""
"","Charlie Crist","minority","7","","","C001111",""
"","Bill Foster","minority","8","","01888","F000454",""
"","Eddie Bernice Johnson","minority","11","Ex Officio","00599","J000126",""
"HSSY18","Andy Biggs","majority","1","Chair","","B001302",""
"","Dana Rohrabacher","majority","2","","00979","R000409",""
"","Bill Posey","majority","3","","01915","P000599",""
"","Mo Brooks","majority","4","","01987","B001274",""
"","Randy K. Weber, Sr.","majority","5","","02161","W000814",""
"","Brian Babin","majority","6","","02270","B001291",""
"","Barry Loudermilk","majority","7","","02238","L000583",""
"","Jim Banks","majority","8","Vice Chair","","B001299",""
"","Clay Higgins","majority","9","","","H001077",""
"","Ralph Norman","majority","10","","","N000190",""
"","Lamar Smith","majority","11","Ex Officio","01075","S000583",""
"","Suzanne Bonamici","minority","1","Ranking Member","02092","B001278",""
"","Colleen Hanabusa","minority","2","","02010","H001050",""
"","Charlie Crist","minority","3","","","C001111",""
"","Eddie Bernice Johnson","minority","8","Ex Officio","00599","J000126",""
"HSSY20","Randy K. Weber, Sr.","majority","1","Chair","02161","W000814",""
"","Dana Rohrabacher","majority","2","","00979","R000409",""
"","Frank D. Lucas","majority","3","","00711","L000491",""
"","Mo Brooks","majority","4","","01987","B001274",""
"","Randy Hultgren","majority","5","","02015","H001059",""
"","Thomas Massie","majority","6","","02094","M001184",""
"","Jim Bridenstine","majority","7","","02155","B001283",""
"","Stephen Knight","majority","8","Vice Chair","02228","K000387",""
"","Darin LaHood","majority","9","","02295","L000585",""
"","Daniel Webster","majority","10","","02002","W000806",""
"","Neal P. Dunn","majority","11","","","D000628",""
"","Lamar Smith","majority","12","Ex Officio","01075","S000583",""
"","Marc A. Veasey","minority","1","Ranking Member","02166","V000131",""
"","Zoe Lofgren","minority","2","","00701","L000397",""
"","Daniel Lipinski","minority","3","","01781","L000563",""
"","Jacky Rosen","minority","4","","","R000608",""
"","Jerry McNerney","minority","5","","01832","M001166",""
"","Paul Tonko","minority","6","","01942","T000469",""
"","Bill Foster","minority","7","","01888","F000454",""
"","Mark Takano","minority","8","","02110","T000472",""
"","Eddie Bernice Johnson","minority","9","Ex Officio","00599","J000126",""
"HSSY21","Darin LaHood","majority","1","Chair","02295","L000585",""
"","Bill Posey","majority","2","","01915","P000599",""
"","Thomas Massie","majority","3","","02094","M001184",""
"","Barry Loudermilk","majority","4","","02238","L000583",""
"","Roger W. Marshall","majority","5","Vice Chair","","M001198",""
"","Clay Higgins","majority","6","","","H001077",""
"","Ralph Norman","majority","7","","","N000190",""
"","Lamar Smith","majority","8","Ex Officio","01075","S000583",""
"","Donald S. Beyer, Jr.","minority","1","Ranking Member","02272","B001292",""
"","Jerry McNerney","minority","2","","01832","M001166",""
"","Ed Perlmutter","minority","3","","01835","P000593",""
"","Eddie Bernice Johnson","minority","6","Ex Officio","00599","J000126",""
"HSVR","David P. Roe","majority","1","Chair","01954","R000582",""
"","Gus M. Bilirakis","majority","2","","01838","B001257",""
"","Mike Coffman","majority","3","","01912","C001077",""
"","Brad R. Wenstrup","majority","4","","02152","W000815",""
"","Aumua Amata Coleman Radewagen","majority","5","","02222","R000600",""
"","Mike Bost","majority","6","","02243","B001295",""
"","Bruce Poliquin","majority","7","","02247","P000611",""
"","Neal P. Dunn","majority","8","","","D000628",""
"","Jodey C. Arrington","majority","9","","","A000375",""
"","John H. Rutherford","majority","10","","","R000609",""
"","Clay Higgins","majority","11","","","H001077",""
"","Jack Bergman","majority","12","","","B001301",""
"","Jim Banks","majority","13","","","B001299",""
"","Jenniffer González-Colón","majority","14","","","G000582",""
"","Timothy J. Walz","minority","1","Ranking Member","01856","W000799",""
"","Mark Takano","minority","2","","02110","T000472",""
"","Julia Brownley","minority","3","","02106","B001285",""
"","Ann M. Kuster","minority","4","","02145","K000382",""
"","Beto O’Rourke","minority","5","","02162","O000170",""
"","Kathleen M. Rice","minority","6","","02262","R000602",""
"","J. Luis Correa","minority","7","","","C001110",""
"","Gregorio Kilili Camacho Sablan","minority","8","","01962","S001177",""
"","Elizabeth H. Esty","minority","9","","02114","E000293",""
"","Scott H. Peters","minority","10","","02113","P000608",""
"HSVR03","Brad R. Wenstrup","majority","1","Chair","02152","W000815",""
"","Gus M. Bilirakis","majority","2","","01838","B001257",""
"","Aumua Amata Coleman Radewagen","majority","3","","02222","R000600",""
"","Neal P. Dunn","majority","4","","","D000628",""
"","John H. Rutherford","majority","5","","","R000609",""
"","Clay Higgins","majority","6","","","H001077",""
"","Jenniffer González-Colón","majority","7","","","G000582",""
"","Julia Brownley","minority","1","Ranking Member","02106","B001285",""
"","Mark Takano","minority","2","","02110","T000472",""
"","Ann M. Kuster","minority","3","","02145","K000382",""
"","Beto O’Rourke","minority","4","","02162","O000170",""
"","J. Luis Correa","minority","5","","","C001110",""
"HSVR08","Jack Bergman","majority","1","Chair","","B001301",""
"","Mike Bost","majority","2","","02243","B001295",""
"","Bruce Poliquin","majority","3","","02247","P000611",""
"","Neal P. Dunn","majority","4","","","D000628",""
"","Jodey C. Arrington","majority","5","","","A000375",""
"","Jenniffer González-Colón","majority","6","","","G000582",""
"","Ann M. Kuster","minority","1","Ranking Member","02145","K000382",""
"","Kathleen M. Rice","minority","2","","02262","R000602",""
"","Scott H. Peters","minority","3","","02113","P000608",""
"","Gregorio Kilili Camacho Sablan","minority","4","","01962","S001177",""
"HSVR09","Mike Bost","majority","1","Chair","02243","B001295",""
"","Mike Coffman","majority","2","","01912","C001077",""
"","Aumua Amata Coleman Radewagen","majority","3","","02222","R000600",""
"","Jack Bergman","majority","4","","","B001301",""
"","Jim Banks","majority","5","","","B001299",""
"","Elizabeth H. Esty","minority","1","Ranking Member","02114","E000293",""
"","Julia Brownley","minority","2","","02106","B001285",""
"","Gregorio Kilili Camacho Sablan","minority","3","","01962","S001177",""
"HSVR10","Jodey C. Arrington","majority","1","Chair","","A000375",""
"","Gus M. Bilirakis","majority","2","","01838","B001257",""
"","Brad R. Wenstrup","majority","3","","02152","W000815",""
"","John H. Rutherford","majority","4","","","R000609",""
"","Jim Banks","majority","5","","","B001299",""
"","Beto O’Rourke","minority","1","Ranking Member","02162","O000170",""
"","Mark Takano","minority","2","","02110","T000472",""
"","J. Luis Correa","minority","3","","","C001110",""
"","Kathleen M. Rice","minority","4","","02262","R000602",""
"HSWM","Kevin Brady","majority","1","Chair","01468","B000755",""
"","Sam Johnson","majority","2","","00603","J000174",""
"","Devin Nunes","majority","3","","01710","N000181",""
"","Patrick J. Tiberi","majority","4","","01664","T000462",""
"","David G. Reichert","majority","5","","01810","R000578",""
"","Peter J. Roskam","majority","6","","01848","R000580",""
"","Vern Buchanan","majority","7","","01840","B001260",""
"","Adrian Smith","majority","8","","01860","S001172",""
"","Lynn Jenkins","majority","9","","01921","J000290",""
"","Erik Paulsen","majority","10","","01930","P000594",""
"","Kenny Marchant","majority","11","","01806","M001158",""
"","Diane Black","majority","12","","02063","B001273",""
"","Tom Reed","majority","13","","01982","R000585",""
"","Mike Kelly","majority","14","","02051","K000376",""
"","James B. Renacci","majority","15","","02048","R000586",""
"","Patrick Meehan","majority","16","","02052","M001181",""
"","Kristi L. Noem","majority","17","","02060","N000184",""
"","George Holding","majority","18","","02143","H001065",""
"","Jason Smith","majority","19","","02191","S001195",""
"","Tom Rice","majority","20","","02160","R000597",""
"","David Schweikert","majority","21","","01994","S001183",""
"","Jackie Walorski","majority","22","","02128","W000813",""
"","Carlos Curbelo","majority","23","","02235","C001107",""
"","Mike Bishop","majority","24","","02249","B001293",""
"","Richard E. Neal","minority","1","Ranking Member","00854","N000015",""
"","Sander M. Levin","minority","2","","00683","L000263",""
"","John Lewis","minority","3","","00688","L000287",""
"","Lloyd Doggett","minority","4","","00303","D000399",""
"","Mike Thompson","minority","5","","01593","T000460",""
"","John B. Larson","minority","6","","01583","L000557",""
"","Earl Blumenauer","minority","7","","00099","B000574",""
"","Ron Kind","minority","8","","01498","K000188",""
"","Bill Pascrell, Jr.","minority","9","","01510","P000096",""
"","Joseph Crowley","minority","10","","01604","C001038",""
"","Danny K. Davis","minority","11","","01477","D000096",""
"","Linda T. Sánchez","minority","12","","01757","S001156",""
"","Brian Higgins","minority","13","","01794","H001038",""
"","Terri A. Sewell","minority","14","","01988","S001185",""
"","Suzan K. DelBene","minority","15","","02096","D000617",""
"","Judy Chu","minority","16","","01970","C001080",""
"HSWM01","Sam Johnson","majority","1","Chair","00603","J000174",""
"","Tom Rice","majority","2","","02160","R000597",""
"","David Schweikert","majority","3","","01994","S001183",""
"","Vern Buchanan","majority","4","","01840","B001260",""
"","Mike Kelly","majority","5","","02051","K000376",""
"","James B. Renacci","majority","6","","02048","R000586",""
"","Jason Smith","majority","7","","02191","S001195",""
"","John B. Larson","minority","1","Ranking Member","01583","L000557",""
"","Bill Pascrell, Jr.","minority","2","","01510","P000096",""
"","Joseph Crowley","minority","3","","01604","C001038",""
"","Linda T. Sánchez","minority","4","","01757","S001156",""
"HSWM02","Patrick J. Tiberi","majority","1","Chair","01664","T000462",""
"","Sam Johnson","majority","2","","00603","J000174",""
"","Devin Nunes","majority","3","","01710","N000181",""
"","Peter J. Roskam","majority","4","","01848","R000580",""
"","Vern Buchanan","majority","5","","01840","B001260",""
"","Adrian Smith","majority","6","","01860","S001172",""
"","Lynn Jenkins","majority","7","","01921","J000290",""
"","Kenny Marchant","majority","8","","01806","M001158",""
"","Diane Black","majority","9","","02063","B001273",""
"","Erik Paulsen","majority","10","","01930","P000594",""
"","Tom Reed","majority","11","","01982","R000585",""
"","Sander M. Levin","minority","1","Ranking Member","00683","L000263",""
"","Mike Thompson","minority","2","","01593","T000460",""
"","Ron Kind","minority","3","","01498","K000188",""
"","Earl Blumenauer","minority","4","","00099","B000574",""
"","Brian Higgins","minority","5","","01794","H001038",""
"","Terri A. Sewell","minority","6","","01988","S001185",""
"","Judy Chu","minority","7","","01970","C001080",""
"HSWM03","Adrian Smith","majority","1","Chair","01860","S001172",""
"","Jason Smith","majority","2","","02191","S001195",""
"","Jackie Walorski","majority","3","","02128","W000813",""
"","Carlos Curbelo","majority","4","","02235","C001107",""
"","Mike Bishop","majority","5","","02249","B001293",""
"","David G. Reichert","majority","6","","01810","R000578",""
"","Tom Reed","majority","7","","01982","R000585",""
"","Danny K. Davis","minority","1","Ranking Member","01477","D000096",""
"","Lloyd Doggett","minority","2","","00303","D000399",""
"","Terri A. Sewell","minority","3","","01988","S001185",""
"","Judy Chu","minority","4","","01970","C001080",""
"HSWM04","David G. Reichert","majority","1","Chair","01810","R000578",""
"","Devin Nunes","majority","2","","01710","N000181",""
"","Lynn Jenkins","majority","3","","01921","J000290",""
"","Erik Paulsen","majority","4","","01930","P000594",""
"","Mike Kelly","majority","5","","02051","K000376",""
"","Patrick Meehan","majority","6","","02052","M001181",""
"","Tom Reed","majority","7","","01982","R000585",""
"","Kristi L. Noem","majority","8","","02060","N000184",""
"","George Holding","majority","9","","02143","H001065",""
"","Tom Rice","majority","10","","02160","R000597",""
"","Bill Pascrell, Jr.","minority","1","Ranking Member","01510","P000096",""
"","Ron Kind","minority","2","","01498","K000188",""
"","Lloyd Doggett","minority","3","","00303","D000399",""
"","Sander M. Levin","minority","4","","00683","L000263",""
"","Danny K. Davis","minority","5","","01477","D000096",""
"","Brian Higgins","minority","6","","01794","H001038",""
"HSWM05","Peter J. Roskam","majority","1","Chair","01848","R000580",""
"","David G. Reichert","majority","2","","01810","R000578",""
"","Patrick J. Tiberi","majority","3","","01664","T000462",""
"","Mike Kelly","majority","4","","02051","K000376",""
"","James B. Renacci","majority","5","","02048","R000586",""
"","Kristi L. Noem","majority","6","","02060","N000184",""
"","George Holding","majority","7","","02143","H001065",""
"","Kenny Marchant","majority","8","","01806","M001158",""
"","Patrick Meehan","majority","9","","02052","M001181",""
"","Lloyd Doggett","minority","1","Ranking Member","00303","D000399",""
"","John B. Larson","minority","2","","01583","L000557",""
"","Linda T. Sánchez","minority","3","","01757","S001156",""
"","Mike Thompson","minority","4","","01593","T000460",""
"","Suzan K. DelBene","minority","5","","02096","D000617",""
"","Earl Blumenauer","minority","6","","00099","B000574",""
"HSWM06","Vern Buchanan","majority","1","Chair","01840","B001260",""
"","David Schweikert","majority","2","","01994","S001183",""
"","Jackie Walorski","majority","3","","02128","W000813",""
"","Carlos Curbelo","majority","4","","02235","C001107",""
"","Mike Bishop","majority","5","","02249","B001293",""
"","Patrick Meehan","majority","6","","02052","M001181",""
"","George Holding","majority","7","","02143","H001065",""
"","John Lewis","minority","1","Ranking Member","00688","L000287",""
"","Joseph Crowley","minority","2","","01604","C001038",""
"","Suzan K. DelBene","minority","3","","02096","D000617",""
"","Earl Blumenauer","minority","4","","00099","B000574",""
"JCSE","Roger F. Wicker","majority","1","Cochairman","01226","W000437","senate"
"","John Boozman","majority","2","","01687","B001236","senate"
"","Marco Rubio","majority","3","","02084","R000595","senate"
"","Thom Tillis","majority","4","","02291","T000476","senate"
"","Cory Gardner","majority","5","","01998","G000562","senate"
"","Benjamin L. Cardin","minority","1","","00174","C000141","senate"
"","Sheldon Whitehouse","minority","2","","01823","W000802","senate"
"","Tom Udall","minority","3","","01567","U000039","senate"
"","Jeanne Shaheen","minority","4","","01901","S001181","senate"
"","Christopher H. Smith","majority","1","Co-Chairman","01071","S000522","house"
"","Robert Aderholt","majority","3","","01460","A000055","house"
"","Michael C. Burgess","majority","4","","01751","B001248","house"
"","Alcee L. Hastings","minority","1","","00511","H000324","house"
"","Louise McIntosh Slaughter","minority","2","","01069","S000480","house"
"","Steve Cohen","minority","3","","01878","C001068","house"
"JSEC","Mike Lee","majority","1","Vice Chairman","02080","L000577","senate"
"","Tom Cotton","majority","2","","02098","C001095","senate"
"","Ben Sasse","majority","3","","02289","S001197","senate"
"","Rob Portman","majority","4","","00924","P000449","senate"
"","Ted Cruz","majority","5","","02175","C001098","senate"
"","Bill Cassidy","majority","6","","01925","C001075","senate"
"","Martin Heinrich","minority","1","","01937","H001046","senate"
"","Amy Klobuchar","minority","2","","01826","K000367","senate"
"","Gary C. Peters","minority","3","","01929","P000595","senate"
"","Margaret Wood Hassan","minority","4","","","H001076","senate"
"","Kevin Brady","majority","1","Chairman","01468","B000755","house"
"","Sean P. Duffy","majority","3","","02072","D000614","house"
"","Justin Amash","majority","4","","02029","A000367","house"
"","Erik Paulsen","majority","5","","01930","P000594","house"
"","Carolyn B. Maloney","minority","1","","00729","M000087","house"
"","Elijah E. Cummings","minority","3","","00256","C000984","house"
"","John K. Delaney","minority","4","","02133","D000620","house"
"JSLC","Richard C. Shelby","majority","1","Vice Chairman","01049","S000320","senate"
"","Pat Roberts","majority","2","","00968","R000307","senate"
"","Roy Blunt","majority","3","","01464","B000575","senate"
"","Amy Klobuchar","minority","1","","01826","K000367","senate"
"","Patrick J. Leahy","minority","2","","01383","L000174","senate"
"","Gregg Harper","majority","1","Chairman","01933","H001045","house"
"","Tom Cole","majority","3","","01742","C001053","house"
"","Robert A. Brady","minority","1","","01469","B001227","house"
"","Zoe Lofgren","minority","2","","00701","L000397","house"
"JSPR","Richard C. Shelby","majority","1","Chairman","01049","S000320","senate"
"","Pat Roberts","majority","2","","00968","R000307","senate"
"","Roger F. Wicker","majority","3","","01226","W000437","senate"
"","Amy Klobuchar","minority","1","","01826","K000367","senate"
"","Tom Udall","minority","2","","01567","U000039","senate"
"","Gregg Harper","majority","1","Vice Chairman","01933","H001045","house"
"","Robert A. Brady","minority","1","","01469","B001227","house"
"","Juan Vargas","minority","2","","02112","V000130","house"
"JSTX","Orrin G. Hatch","majority","1","Vice Chairman","01351","H000338","senate"
"","Chuck Grassley","majority","2","","00457","G000386","senate"
"","Mike Crapo","majority","3","","00250","C000880","senate"
"","Ron Wyden","minority","1","","01247","W000779","senate"
"","Debbie Stabenow","minority","2","","01531","S000770","senate"
"","Paul Ryan","majority","1","Chairman","01560","R000570","house"
"","Sam Johnson","majority","2","","00603","J000174","house"
"","Kevin Brady","majority","3","","01468","B000755","house"
"","Sander Levin","minority","1","","00683","L000263","house"
"SCNC","Chuck Grassley","majority","1","Chairman","00457","G000386",""
"","John Cornyn","majority","2","","01692","C001056",""
"","James E. Risch","majority","3","","01896","R000584",""
"","Dianne Feinstein","minority","1","","01332","F000062",""
"","Sheldon Whitehouse","minority","2","","01823","W000802",""
"","Heidi Heitkamp","minority","3","","02174","H001069",""
"SLET","Johnny Isakson","majority","1","Chairman","01608","I000055",""
"","Pat Roberts","majority","2","","00968","R000307",""
"","James E. Risch","majority","3","","01896","R000584",""
"","Christopher A. Coons","minority","1","Vice Chairman","01984","C001088",""
"","Brian Schatz","minority","2","","02173","S001194",""
"","Jeanne Shaheen","minority","3","","01901","S001181",""
"SLIA","John Hoeven","majority","1","Chairman","02079","H001061",""
"","John Barrasso","majority","2","","01881","B001261",""
"","John McCain","majority","3","","00754","M000303",""
"","Lisa Murkowski","majority","4","","01694","M001153",""
"","James Lankford","majority","5","","02050","L000575",""
"","Steve Daines","majority","6","","02138","D000618",""
"","Mike Crapo","majority","7","","00250","C000880",""
"","Jerry Moran","majority","8","","01507","M000934",""
"","Tom Udall","minority","1","Vice Chairman","01567","U000039",""
"","Maria Cantwell","minority","2","","00172","C000127",""
"","Jon Tester","minority","3","","01829","T000464",""
"","Brian Schatz","minority","5","","02173","S001194",""
"","Heidi Heitkamp","minority","6","","02174","H001069",""
"","Catherine Cortez Masto","minority","7","","","C001113",""
"SLIN","Richard Burr","majority","1","Chairman","00153","B001135",""
"","James E. Risch","majority","2","","01896","R000584",""
